955.42	357.512	101.587	10.037
955.43	357.941	101.708	10.036
955.45	358.666	101.905	10.033
955.46	356.402	101.266	10.035
955.47	357.654	101.631	10.038
955.48	357.95	101.728	10.044
955.50	357.35	101.563	10.046
955.51	357.066	101.486	10.047
955.52	357.19	101.51	10.043
955.53	356.667	101.37	10.047
955.55	356.59	101.344	10.045
955.56	358.822	101.98	10.045
955.57	357.268	101.536	10.044
955.58	356.616	101.355	10.046
956.00	356.745	101.393	10.047
956.01	357.341	101.567	10.049
956.02	358.358	101.85	10.046
956.03	357.676	101.668	10.051
956.05	358.138	101.801	10.052
956.06	359.176	102.095	10.051
956.07	358.072	101.786	10.053
956.08	358.588	101.92	10.048
956.10	358.461	101.889	10.05
956.11	358.001	101.753	10.048
956.12	357.272	101.562	10.055
956.13	357.175	101.544	10.059
956.15	358.079	101.811	10.063
956.16	358.611	101.945	10.056
956.17	358.227	101.826	10.052
956.18	357.485	101.614	10.051
956.20	358.245	101.838	10.055
956.21	357.557	101.646	10.056
956.22	357.355	101.589	10.056
956.23	357.252	101.562	10.057
956.25	357.407	101.607	10.057
956.26	358.078	101.794	10.056
956.27	356.825	101.438	10.056
956.28	357.638	101.67	10.057
956.30	357.426	101.6	10.052
956.31	358.674	101.948	10.049
956.32	357.809	101.69	10.044
956.33	356.635	101.364	10.048
956.35	358.679	101.938	10.045
956.36	357.472	101.581	10.039
956.37	357.642	101.628	10.039
956.38	357.94	101.709	10.037
956.40	357.647	101.626	10.037
956.41	358.639	101.914	10.039
956.42	357.288	101.533	10.041
956.43	357.031	101.448	10.036
956.44	357.417	101.554	10.034
956.46	357.724	101.637	10.033
956.47	357.845	101.676	10.034
956.48	357.57	101.588	10.03
956.49	357.577	101.59	10.03
956.51	357.422	101.539	10.028
956.52	357.896	101.673	10.027
956.53	358.033	101.713	10.028
956.54	357.126	101.456	10.028
956.56	356.312	101.215	10.024
956.57	359.181	102.033	10.025
956.58	357.997	101.692	10.023
956.59	357.665	101.602	10.025
957.01	357.023	101.412	10.022
957.02	357.528	101.552	10.02
957.03	358.09	101.71	10.02
957.04	357.772	101.615	10.018
957.06	357.556	101.556	10.019
957.07	357.018	101.418	10.025
957.08	357.944	101.675	10.022
957.09	357.405	101.519	10.021
957.11	358.11	101.711	10.018
957.12	357.306	101.48	10.017
957.13	358.268	101.75	10.015
957.14	358.183	101.735	10.019
957.16	357.158	101.444	10.019
957.17	356.549	101.271	10.019
957.18	356.881	101.364	10.018
957.19	357.775	101.611	10.015
957.21	357.635	101.563	10.012
957.22	358.053	101.683	10.013
957.23	356.889	101.354	10.014
957.24	358.21	101.778	10.034
957.26	357.211	101.531	10.049
957.27	358.279	101.876	10.066
957.28	358.019	101.841	10.083
957.29	358.834	102.114	10.1
957.31	358.34	102.022	10.12
957.32	359.504	102.404	10.141
957.33	359.211	102.333	10.146
957.34	359.971	102.393	10.081
957.36	362.842	103.016	10.002
957.37	361.833	102.67	9.977
957.38	364.198	102.955	9.818
957.39	366.029	103.188	9.702
957.41	366.706	103.255	9.652
957.42	367.318	103.089	9.514
957.43	370.257	103.548	9.366
957.44	371.908	103.832	9.294
957.46	373.214	104.119	9.263
957.47	377.426	105.434	9.319
957.48	379.037	106.755	9.663
957.49	378.758	106.909	9.755
957.51	385.58	109.034	9.832
957.52	387.914	110.056	9.971
957.53	393.313	111.69	10.01
957.54	399.191	113.224	9.96
957.55	403.94	114.358	9.881
957.57	407.712	115.151	9.78
957.58	414.451	116.737	9.665
957.59	418.487	117.868	9.664
958.00	422.763	119.258	9.729
958.02	425.478	120.328	9.836
958.03	417.34	118.391	9.966
958.04	415.157	117.686	9.936
958.05	412.192	116.791	9.916
958.07	406.689	114.337	9.587
958.08	405.448	113.379	9.362
958.09	401.93	112.269	9.315
958.10	398.648	111.764	9.47
958.12	389.804	109.86	9.691
958.13	386.911	109.494	9.864
958.14	378.79	107.529	9.996
958.15	376.579	106.843	9.973
958.17	373.839	106.101	9.987
958.18	370.467	105.181	10.002
958.19	369.679	105.008	10.022
958.20	366.681	104.173	10.029
958.22	365.23	103.768	10.032
958.23	364.551	103.566	10.028
958.24	363.821	103.349	10.024
958.25	362.512	102.977	10.024
958.27	361.406	102.668	10.026
958.28	361.473	102.685	10.025
958.29	359.949	102.258	10.028
958.30	360.923	102.533	10.027
958.32	360.172	102.315	10.025
958.33	359.528	102.145	10.03
958.34	359.015	101.998	10.03
958.35	359.793	102.219	10.03
958.37	359.355	102.087	10.027
958.38	359.154	102.038	10.03
958.39	359.653	102.178	10.029
958.40	358.619	101.879	10.027
958.42	359.406	102.109	10.03
958.43	359.564	102.144	10.026
958.44	358.429	101.828	10.029
958.45	359.481	102.125	10.028
958.47	359.609	102.162	10.028
958.48	359.358	102.097	10.031
958.49	358.993	102.006	10.036
958.50	359.218	102.076	10.038
958.52	360.168	102.343	10.037
958.53	358.868	101.969	10.036
958.54	360.108	102.315	10.033
958.55	359.384	102.092	10.026
958.57	359.656	102.15	10.017
958.58	359.726	102.137	10.004
958.59	362.107	102.865	10.025
959.00	360.044	102.271	10.022
959.01	362.736	102.716	9.891
959.03	364.627	103.069	9.815
959.04	365.11	103.095	9.77
959.05	365.081	102.881	9.686
959.06	367.886	103.33	9.547
959.08	368.595	103.27	9.442
959.09	371.415	103.91	9.381
959.10	374.731	105.012	9.451
959.11	377.652	106.344	9.654
959.13	373.454	105.404	9.751
959.14	379.88	107.179	9.736
959.15	381.514	107.683	9.753
959.16	389.209	109.985	9.803
959.18	394.066	111.355	9.802
959.19	397.141	112.506	9.908
959.20	398.548	113.04	9.959
959.21	403.142	114.114	9.874
959.23	409.034	115.534	9.784
959.24	414.192	116.941	9.766
959.25	417.364	117.969	9.813
959.26	414.307	117.419	9.926
959.28	417.745	118.015	9.791
959.29	411.245	116.473	9.898
959.30	413.492	116.84	9.801
959.31	404.34	114.4	9.854
959.33	401.229	112.66	9.534
959.34	397.999	111.559	9.461
959.35	394.05	110.694	9.553
959.36	388.2	109.66	9.788
959.38	383.533	108.7	9.928
959.39	379.335	107.585	9.957
959.40	373.727	106.053	9.98
959.41	372.77	105.816	9.994
959.43	368.62	104.658	10.002
959.44	367.745	104.422	10.007
959.45	366.47	104.063	10.009
959.46	364.433	103.485	10.009
959.48	364.559	103.511	10.005
959.49	363.806	103.288	10.001
959.50	362.774	102.992	10
959.51	362.697	102.976	10.002
959.53	361.427	102.627	10.007
959.54	361.516	102.651	10.006
959.55	361.32	102.593	10.005
959.56	361.075	102.518	10.003
959.58	359.824	102.165	10.004
959.59	359.713	102.135	10.005
1000.00	360.402	102.329	10.004
1000.01	358.777	101.865	10.003
1000.02	359.004	101.934	10.005
1000.04	359.812	102.174	10.009
1000.05	359.317	102.033	10.009
1000.06	359.848	102.176	10.006
